,dteday,hr,holiday,weekday,workingday,season_t,weather,temperature,s_temp,humidity,winds,n_employee,exp_employee,occupancy
44,2012-09-25,8,0,2,1,winter,Clear,19.68,23.485,67,13.0,3.0,0.0,805
45,2012-02-16,4,0,4,1,spring,LightRain,12.299999999999999,15.909999999999998,70,6.0,2.67,6.86,3
46,2011-12-25,21,0,0,0,spring,Clear,12.299999999999999,15.15,56,9.0,3.0,20.57,19
47,2011-01-20,1,0,4,1,spring,Clear,10.66,13.635,56,0.0,3.0,7.14,5
48,2011-11-09,0,0,3,1,winter,Clear,14.76,18.94,87,0.0,1.67,7.86,13
49,2012-06-01,16,0,5,1,summer,LightRain,30.34,34.089999999999996,57,30.0,3.0,29.57,222
50,2011-11-04,19,0,5,1,winter,Clear,16.400000000000002,20.455000000000002,37,24.0,1.67,18.29,196
51,2011-03-22,2,0,2,1,summer,Clear,18.04,21.97,94,6.0,2.33,15.71,1
52,2012-05-14,3,0,1,1,summer,Cloudy,23.779999999999998,27.275,68,22.0,3.0,10.29,2
53,2012-02-26,19,0,0,0,spring,Clear,13.940000000000001,16.665,34,11.0,3.0,18.14,143
54,2012-10-09,0,0,2,1,winter,Cloudy,15.58,19.695,82,15.0,2.67,20.0,31
55,2011-01-21,5,0,5,1,spring,Clear,9.84,9.85,60,28.0,1.67,4.14,5
56,2011-07-11,15,0,1,1,fall,Clear,35.26,42.425000000000004,56,28.0,1.67,26.14,146
57,2012-02-25,22,0,6,0,spring,Clear,9.84,9.85,38,31.0,2.0,23.86,82
58,2011-01-02,14,0,0,0,spring,LightRain,14.76,17.424999999999997,76,13.0,2.0,11.29,59
59,2012-12-29,0,0,6,0,spring,Cloudy,9.84,12.120000000000001,70,0.0,2.33,2.0,26
60,2011-01-26,7,0,3,1,spring,LightRain,9.02,10.605,87,20.0,2.33,12.0,30
61,2012-04-29,10,0,0,0,summer,Clear,17.22,21.21,67,6.0,3.0,13.0,380
62,2011-09-21,1,0,3,1,fall,Clear,22.14,25.759999999999998,94,0.0,2.33,9.71,17
63,2011-06-20,2,0,1,1,summer,Clear,26.240000000000002,28.79,89,6.0,2.33,27.29,2
64,2012-10-31,17,0,3,1,winter,Cloudy,16.400000000000002,20.455000000000002,57,11.0,2.0,24.29,723
65,2012-04-10,15,0,2,1,summer,Clear,22.96,26.515,21,20.0,2.0,19.29,203
66,2011-02-02,2,0,3,1,spring,LightRain,9.02,11.365,93,9.0,2.33,10.14,4
67,2011-01-25,12,0,2,1,spring,Cloudy,10.66,14.395,56,6.0,2.0,20.57,106
68,2012-07-13,4,0,5,1,fall,Cloudy,27.060000000000002,31.06,61,0.0,2.67,5.86,11
69,2011-12-17,21,0,6,0,winter,Clear,8.200000000000001,10.605,75,11.0,2.67,9.29,96
70,2011-08-08,21,0,1,1,fall,Clear,31.16,35.605,57,6.0,2.33,20.14,186
71,2012-06-27,15,0,3,1,fall,Clear,32.800000000000004,34.85,26,31.0,2.67,24.71,249
72,2011-04-12,5,0,2,1,summer,Cloudy,22.14,25.759999999999998,68,9.0,2.33,3.29,16
73,2011-07-28,1,0,4,1,fall,Clear,29.52,33.335,51,0.0,3.0,3.57,29
74,2011-11-05,2,0,6,0,winter,Clear,12.299999999999999,13.635,52,22.0,2.0,0.43,31
75,2011-07-08,2,0,5,1,fall,Cloudy,28.7,33.335,74,11.0,1.67,7.71,22
76,2012-05-03,9,0,4,1,summer,Cloudy,19.68,23.485,88,7.0,3.0,3.86,304
77,2011-08-24,4,0,3,1,fall,Clear,22.96,26.515,73,7.0,2.0,14.43,7
78,2012-02-02,0,0,4,1,spring,Clear,18.86,22.725,59,9.0,2.0,25.0,31
79,2011-08-04,3,0,4,1,fall,LightRain,27.060000000000002,29.544999999999998,94,6.0,2.33,9.0,3
80,2012-07-28,23,0,6,0,fall,Clear,27.060000000000002,30.305,83,6.0,2.0,4.43,208
81,2011-02-09,5,0,3,1,spring,Clear,2.46,5.305,45,7.0,3.0,9.14,7
82,2012-05-13,20,0,0,0,summer,Cloudy,27.060000000000002,31.06,50,19.0,2.0,17.71,230
83,2012-03-16,3,0,5,1,spring,Cloudy,16.400000000000002,20.455000000000002,87,19.0,2.0,17.43,3
84,2011-07-28,2,0,4,1,fall,Clear,29.52,33.335,54,7.0,3.0,29.29,7
85,2012-07-19,8,0,4,1,fall,Clear,31.16,35.605,57,17.0,2.67,25.57,657
86,2011-01-25,20,0,2,1,spring,Clear,9.84,11.365,65,13.0,2.67,13.0,119
87,2012-02-07,12,0,2,1,spring,Clear,16.400000000000002,20.455000000000002,40,22.0,2.0,29.29,172
88,2012-11-24,9,0,6,0,winter,Cloudy,10.66,10.605,41,30.0,2.67,22.29,122
89,2011-04-08,10,0,5,1,summer,Cloudy,14.76,16.665,71,19.0,2.0,13.29,73
90,2011-11-10,4,0,4,1,winter,Clear,15.58,19.695,94,6.0,3.0,30.29,3
91,2011-12-20,0,0,2,1,winter,Clear,14.76,18.18,56,7.0,3.0,0.57,21
92,2011-06-27,11,0,1,1,fall,Cloudy,28.7,32.574999999999996,57,0.0,3.0,29.57,150
93,2012-12-31,13,0,1,1,spring,Cloudy,10.66,12.879999999999999,44,11.0,2.33,14.86,203
94,2012-02-21,7,0,2,1,spring,Clear,9.02,13.635,64,0.0,3.0,6.29,279
95,2012-08-18,10,0,6,0,fall,Clear,28.7,32.574999999999996,54,11.0,2.67,22.0,480
96,2012-03-25,9,0,0,0,summer,Cloudy,16.400000000000002,20.455000000000002,94,17.0,3.0,8.43,118
97,2011-01-11,8,0,2,1,spring,Cloudy,7.38,10.605,51,6.0,2.67,28.0,217
98,2012-07-12,20,0,4,1,fall,Clear,30.34,33.335,48,15.0,2.0,0.86,514
99,2012-04-01,5,0,0,0,summer,Cloudy,13.940000000000001,17.424999999999997,81,6.0,1.67,24.57,18
100,2011-08-30,10,0,2,1,fall,Clear,28.7,31.819999999999997,39,15.0,2.0,24.14,137
101,2012-07-22,16,0,0,0,fall,Clear,30.34,34.85,66,7.0,2.0,25.0,628
102,2012-10-01,4,0,1,1,winter,Clear,17.22,21.21,82,7.0,1.67,10.43,10
103,2011-03-12,1,0,6,0,spring,Clear,9.84,11.365,65,13.0,2.0,5.29,18
104,2012-07-09,11,0,1,1,fall,Cloudy,29.52,34.089999999999996,62,9.0,1.67,11.14,216
105,2012-11-27,14,0,2,1,winter,LightRain,11.48,12.879999999999999,87,24.0,2.33,8.14,94
106,2011-07-11,0,0,1,1,fall,Clear,28.7,32.574999999999996,65,13.0,1.67,13.0,35
107,2011-09-16,19,0,5,1,fall,Cloudy,20.5,24.240000000000002,55,11.0,1.67,16.43,315
108,2011-03-25,0,0,5,1,summer,Clear,9.84,11.365,60,13.0,2.33,16.71,18
109,2012-01-09,19,0,1,1,spring,LightRain,8.200000000000001,11.365,93,6.0,3.0,12.57,190
110,2012-04-26,15,0,4,1,summer,Cloudy,21.32,25.0,83,22.0,2.33,26.29,204
111,2011-09-07,20,0,3,1,fall,LightRain,26.240000000000002,28.79,89,6.0,2.0,23.29,96
112,2011-02-21,23,1,1,0,spring,LightRain,8.200000000000001,8.334999999999999,75,28.0,2.33,10.57,2
113,2012-02-25,7,0,6,0,spring,Clear,11.48,12.120000000000001,45,30.0,3.0,19.57,23
114,2012-09-19,5,0,3,1,fall,Cloudy,21.32,25.0,68,19.0,3.0,30.29,56
115,2011-12-11,3,0,0,0,winter,Clear,6.5600000000000005,9.09,59,9.0,3.0,26.14,19
116,2011-07-03,4,0,0,0,fall,LightRain,27.880000000000003,31.819999999999997,65,6.0,2.0,7.29,5
117,2011-05-10,4,0,2,1,summer,Clear,17.22,21.21,62,17.0,2.33,26.71,2
118,2012-02-06,4,0,1,1,spring,Clear,7.38,10.605,80,7.0,2.0,25.57,2
119,2012-05-05,3,0,6,0,summer,Clear,23.779999999999998,27.275,83,0.0,3.0,12.57,32
120,2011-04-30,19,0,6,0,summer,Clear,22.14,25.759999999999998,43,9.0,1.67,3.0,387
121,2012-08-09,19,0,4,1,fall,Clear,32.800000000000004,37.88,55,13.0,3.0,6.57,623
122,2012-05-10,23,0,4,1,summer,Clear,19.68,23.485,48,7.0,2.0,27.86,135
123,2012-06-22,4,0,5,1,fall,Cloudy,31.16,36.364999999999995,66,0.0,2.67,25.57,10
124,2011-01-29,8,0,6,0,spring,Clear,7.38,9.85,55,11.0,1.67,4.14,34
125,2011-09-05,9,1,1,0,fall,LightRain,27.880000000000003,31.819999999999997,74,11.0,2.33,17.29,152
126,2011-10-23,6,0,0,0,winter,Clear,13.120000000000001,16.665,87,7.0,2.33,24.71,12
127,2012-04-30,9,0,1,1,summer,Cloudy,16.400000000000002,20.455000000000002,43,13.0,2.0,5.57,268
128,2012-01-27,21,0,5,1,spring,Clear,13.940000000000001,14.395,53,35.0,3.0,9.57,135
129,2011-08-06,7,0,6,0,fall,Clear,27.880000000000003,31.819999999999997,83,11.0,2.33,17.86,63
130,2011-12-11,21,0,0,0,winter,Clear,9.02,13.635,55,0.0,2.33,25.43,63
131,2012-08-18,4,0,6,0,fall,Clear,25.419999999999998,29.544999999999998,73,15.0,2.33,21.71,13
132,2012-04-04,18,0,3,1,summer,Clear,27.060000000000002,31.06,41,17.0,2.67,10.14,759
133,2011-05-02,19,0,1,1,summer,Cloudy,25.419999999999998,30.305,69,9.0,3.0,22.86,314
134,2012-11-30,13,0,5,1,winter,Cloudy,16.400000000000002,20.455000000000002,40,11.0,3.0,1.86,262
135,2012-08-13,0,0,1,1,fall,Clear,27.060000000000002,31.06,65,7.0,2.67,13.14,47
136,2011-12-15,15,0,4,1,winter,LightRain,21.32,25.0,55,15.0,3.0,17.71,82
137,2011-09-03,14,0,6,0,fall,Cloudy,29.52,34.089999999999996,66,11.0,1.67,5.43,380
138,2012-07-23,12,0,1,1,fall,Cloudy,32.800000000000004,37.12,52,11.0,3.0,25.29,314
139,2011-12-08,14,0,4,1,winter,Clear,13.120000000000001,15.15,45,17.0,3.0,14.57,137
140,2012-09-21,10,0,5,1,fall,Clear,25.419999999999998,30.305,61,15.0,2.0,8.0,225
141,2012-03-05,8,0,1,1,spring,Clear,8.200000000000001,11.365,59,7.0,3.0,2.43,428
142,2011-06-29,17,0,3,1,fall,Clear,33.62,35.605,26,28.0,2.67,11.57,570
143,2011-06-07,12,0,2,1,summer,Cloudy,32.800000000000004,36.364999999999995,46,19.0,1.67,6.14,183
144,2011-09-11,17,0,0,0,fall,Clear,29.52,33.335,51,9.0,2.0,29.86,380
145,2012-02-28,12,0,2,1,spring,Clear,14.76,17.424999999999997,34,9.0,1.67,15.29,183
146,2012-10-30,16,0,2,1,winter,LightRain,12.299999999999999,14.395,87,17.0,2.0,29.14,98
147,2012-11-01,18,0,4,1,winter,Cloudy,16.400000000000002,20.455000000000002,50,11.0,2.33,20.71,678
148,2012-08-27,10,0,1,1,fall,Clear,29.52,34.85,74,9.0,1.67,13.0,206
149,2012-08-01,8,0,3,1,fall,Cloudy,27.060000000000002,30.305,78,13.0,1.67,28.71,681
150,2012-06-20,19,0,3,1,summer,Clear,36.08,39.395,37,17.0,3.0,10.0,539
151,2011-08-15,10,0,1,1,fall,Clear,27.880000000000003,31.819999999999997,69,19.0,1.67,1.57,141
152,2011-05-27,3,0,5,1,summer,Clear,27.060000000000002,31.06,65,6.0,1.67,1.14,12
153,2011-11-04,4,0,5,1,winter,Cloudy,15.58,19.695,87,6.0,2.33,6.86,7
154,2012-02-28,0,0,2,1,spring,Clear,17.22,21.21,54,9.0,3.0,13.29,10
155,2011-02-10,7,0,4,1,spring,Clear,4.1000000000000005,3.7900000000000005,50,28.0,2.0,26.0,99
156,2012-02-02,10,0,4,1,spring,LightRain,17.22,21.21,77,7.0,2.33,9.0,78
157,2011-06-07,19,0,2,1,summer,Clear,31.16,34.089999999999996,48,17.0,2.33,0.0,424
158,2011-02-04,2,0,5,1,spring,Cloudy,5.74,8.334999999999999,63,7.0,3.0,3.14,1
159,2011-05-14,20,0,6,0,summer,LightRain,22.14,25.759999999999998,94,9.0,2.0,0.43,157
160,2012-10-11,18,0,4,1,winter,Clear,18.86,22.725,44,11.0,2.33,14.86,692
161,2012-07-02,11,0,1,1,fall,Clear,34.44,36.364999999999995,28,20.0,2.33,0.0,201
162,2011-04-10,8,0,0,0,summer,Cloudy,15.58,19.695,94,6.0,1.67,16.57,55
163,2012-04-11,9,0,3,1,summer,Cloudy,13.120000000000001,15.15,49,20.0,1.67,2.86,302
164,2012-02-03,17,0,5,1,spring,Clear,16.400000000000002,20.455000000000002,37,6.0,2.0,21.14,488
165,2011-12-14,13,0,3,1,winter,Cloudy,14.76,18.18,56,7.0,2.0,22.14,133
166,2011-11-14,2,0,1,1,winter,Clear,18.86,22.725,63,24.0,2.33,14.86,17
167,2011-09-12,0,0,1,1,fall,Clear,22.96,26.515,88,6.0,2.67,7.0,16
168,2011-11-24,4,1,4,0,winter,Clear,12.299999999999999,15.909999999999998,61,6.0,3.0,23.43,2
169,2012-03-24,20,0,6,0,summer,LightRain,18.04,21.97,100,13.0,2.67,2.43,111
170,2012-04-27,9,0,5,1,summer,Clear,17.22,21.21,44,33.0,1.67,15.14,334
171,2011-01-13,18,0,4,1,spring,Clear,8.200000000000001,9.09,40,22.0,3.0,10.0,144
172,2011-08-07,4,0,0,0,fall,Clear,28.7,33.335,84,9.0,2.33,21.0,6
173,2011-10-31,7,0,1,1,winter,Clear,9.84,14.395,93,0.0,2.33,6.86,227
174,2011-08-26,7,0,5,1,fall,Clear,26.240000000000002,28.79,83,0.0,1.67,21.86,266
175,2012-04-12,9,0,4,1,summer,Clear,14.76,16.665,56,24.0,2.67,11.0,287
176,2012-04-29,13,0,0,0,summer,Clear,20.5,24.240000000000002,45,7.0,2.33,18.43,595
177,2011-03-20,2,0,0,0,spring,Clear,12.299999999999999,14.395,52,19.0,1.67,29.14,30
178,2012-04-03,9,0,2,1,summer,Clear,17.22,21.21,38,6.0,2.33,30.29,408
179,2011-07-06,12,0,3,1,fall,Cloudy,30.34,34.85,66,6.0,1.67,21.57,152
180,2012-05-25,11,0,5,1,summer,Clear,27.880000000000003,31.819999999999997,79,9.0,2.0,6.29,283
181,2011-08-14,12,0,0,0,fall,Cloudy,28.7,33.335,79,15.0,2.0,21.71,281
182,2011-09-06,10,0,2,1,fall,LightRain,22.14,25.759999999999998,83,24.0,2.33,7.71,106
183,2012-04-18,18,0,3,1,summer,Cloudy,17.22,21.21,77,0.0,2.33,26.86,505
184,2011-02-26,16,0,6,0,spring,Clear,14.76,16.665,46,19.0,2.0,14.57,171
185,2011-12-05,8,0,1,1,winter,Clear,13.120000000000001,17.424999999999997,93,0.0,2.0,8.71,404
186,2011-03-02,1,0,3,1,spring,Clear,9.02,11.365,69,13.0,3.0,7.43,4
187,2012-04-03,15,0,2,1,summer,Clear,24.599999999999998,29.544999999999998,20,13.0,2.33,24.71,316
188,2012-10-20,1,0,6,0,winter,Clear,18.86,22.725,72,9.0,1.67,2.14,95
189,2011-08-20,3,0,6,0,fall,Clear,25.419999999999998,29.544999999999998,78,0.0,1.67,16.14,51
190,2011-09-01,8,0,4,1,fall,Clear,25.419999999999998,29.544999999999998,73,9.0,3.0,24.71,498
191,2011-09-02,20,0,5,1,fall,Clear,26.240000000000002,30.305,73,0.0,1.67,3.14,196
192,2011-07-09,12,0,6,0,fall,Clear,32.800000000000004,36.364999999999995,46,17.0,2.0,28.43,366
193,2012-08-16,13,0,4,1,fall,Clear,32.800000000000004,34.85,31,15.0,1.67,6.43,300
194,2012-12-20,20,0,4,1,winter,LightRain,13.940000000000001,16.665,76,11.0,2.0,18.0,50
195,2012-07-18,12,0,3,1,fall,Clear,37.72,43.18,37,9.0,2.0,15.0,202
196,2012-06-23,16,0,6,0,fall,Clear,34.44,35.605,26,20.0,2.67,26.29,513
197,2011-01-25,1,0,2,1,spring,Cloudy,6.5600000000000005,8.334999999999999,69,11.0,2.33,20.43,5
198,2012-09-22,23,0,6,0,fall,Clear,25.419999999999998,31.06,50,13.0,2.33,22.57,171
199,2012-05-05,20,0,6,0,summer,Clear,24.599999999999998,28.79,78,17.0,2.0,25.0,309
200,2011-10-16,18,0,0,0,winter,Clear,22.96,26.515,49,30.0,2.0,27.57,328
201,2012-10-22,16,0,1,1,winter,Clear,25.419999999999998,31.06,33,11.0,3.0,12.14,524
202,2012-09-16,12,0,0,0,fall,Clear,27.060000000000002,31.06,44,11.0,2.33,9.57,656
203,2011-06-02,20,0,4,1,summer,Clear,28.7,31.819999999999997,24,13.0,3.0,13.14,337
204,2011-10-26,1,0,3,1,winter,Clear,18.04,21.97,67,17.0,1.67,25.71,12
205,2012-01-10,0,0,2,1,spring,Cloudy,9.02,12.120000000000001,87,7.0,2.33,25.43,14
206,2012-03-18,1,0,0,0,spring,Clear,18.86,22.725,82,9.0,2.67,9.86,113
207,2011-07-05,6,0,2,1,fall,Clear,27.060000000000002,31.06,74,6.0,2.67,29.43,94
208,2012-05-11,13,0,5,1,summer,Clear,24.599999999999998,30.305,26,26.0,1.67,23.57,363
209,2011-04-25,6,0,1,1,summer,Cloudy,20.5,24.240000000000002,100,0.0,2.33,8.57,66
210,2011-04-22,16,0,5,1,summer,LightRain,13.940000000000001,16.665,87,9.0,2.67,28.14,62
211,2012-11-13,6,0,2,1,winter,LightRain,13.120000000000001,14.395,81,31.0,2.67,18.29,50
212,2011-07-27,15,0,3,1,fall,Clear,35.26,37.12,26,17.0,3.0,28.0,140
213,2012-11-12,3,1,1,0,winter,Clear,16.400000000000002,20.455000000000002,76,9.0,2.33,7.0,4
214,2011-10-06,14,0,4,1,winter,Clear,23.779999999999998,27.275,43,6.0,2.67,6.43,195
215,2011-05-16,14,0,1,1,summer,Clear,27.880000000000003,31.819999999999997,51,0.0,2.0,2.43,193
216,2012-06-14,9,0,4,1,summer,Clear,25.419999999999998,30.305,61,15.0,2.0,7.29,357
217,2012-02-02,20,0,4,1,spring,Clear,14.76,15.909999999999998,46,35.0,2.33,13.43,213
218,2011-05-17,12,0,2,1,summer,LightRain,22.96,26.515,83,28.0,2.0,3.71,153
219,2011-10-02,0,0,0,0,winter,LightRain,14.76,16.665,93,20.0,2.33,25.29,47
220,2012-01-05,4,0,4,1,spring,Cloudy,8.200000000000001,11.365,59,6.0,2.0,20.0,5
221,2011-05-29,22,0,0,0,summer,Clear,27.060000000000002,29.544999999999998,89,9.0,2.0,3.43,171
222,2011-04-13,23,0,3,1,summer,Clear,16.400000000000002,20.455000000000002,71,9.0,3.0,2.43,62
223,2011-07-24,1,0,0,0,fall,Clear,31.98,37.88,66,7.0,1.67,5.71,96
224,2012-08-27,6,0,1,1,fall,Clear,25.419999999999998,28.03,88,0.0,2.33,11.43,145
225,2011-08-30,15,0,2,1,fall,Clear,30.34,32.574999999999996,35,15.0,2.33,13.14,196
226,2012-12-23,4,0,0,0,spring,Clear,8.200000000000001,10.605,47,9.0,1.67,23.71,4
227,2012-01-23,18,0,1,1,spring,Cloudy,9.84,12.120000000000001,93,9.0,1.67,12.71,282
228,2012-11-16,9,0,5,1,winter,Clear,13.940000000000001,17.424999999999997,53,7.0,2.67,8.29,351
229,2012-08-10,19,0,5,1,fall,Clear,31.16,35.605,62,19.0,2.33,3.71,492
230,2011-12-08,13,0,4,1,winter,Clear,12.299999999999999,13.635,49,24.0,2.33,15.14,124
231,2012-09-24,15,0,1,1,winter,Clear,24.599999999999998,31.06,31,0.0,2.67,24.14,300
232,2011-07-15,1,0,5,1,fall,Clear,25.419999999999998,29.544999999999998,73,13.0,3.0,7.86,20
233,2012-06-03,0,0,0,0,summer,Clear,22.14,25.759999999999998,60,11.0,2.33,25.71,169
234,2012-02-27,12,0,1,1,spring,Clear,16.400000000000002,20.455000000000002,37,20.0,2.33,7.43,177
235,2012-02-25,17,0,6,0,spring,Clear,12.299999999999999,13.635,33,24.0,2.67,1.0,159
236,2012-09-21,9,0,5,1,fall,Clear,23.779999999999998,27.275,68,9.0,2.67,28.29,383
237,2012-11-28,20,0,3,1,winter,Clear,13.120000000000001,16.665,36,9.0,1.67,13.43,263
238,2012-12-30,14,0,0,0,spring,Clear,12.299999999999999,13.635,36,31.0,2.33,6.57,160
239,2011-08-17,21,0,3,1,fall,Clear,29.52,34.089999999999996,62,15.0,2.0,22.86,230
240,2012-08-19,22,0,0,0,fall,Cloudy,25.419999999999998,29.544999999999998,78,11.0,3.0,5.57,56
241,2012-03-16,23,0,5,1,spring,Cloudy,18.04,21.97,94,0.0,2.67,30.29,126
242,2012-03-11,20,0,0,0,spring,Clear,18.04,21.97,47,15.0,2.0,12.57,171
243,2012-05-30,4,0,3,1,summer,Cloudy,25.419999999999998,28.03,88,9.0,1.67,19.57,6
244,2012-01-28,14,0,6,0,spring,Clear,15.58,19.695,50,26.0,2.33,19.86,362
245,2012-10-10,8,0,3,1,winter,Clear,20.5,24.240000000000002,77,11.0,2.0,6.0,839
246,2012-06-14,6,0,4,1,summer,Clear,23.779999999999998,27.275,60,19.0,3.0,18.43,181
247,2012-07-15,18,0,0,0,fall,LightRain,29.52,34.85,79,24.0,2.0,27.29,312
248,2011-08-16,18,0,2,1,fall,Clear,31.16,34.089999999999996,45,15.0,3.0,1.0,570
249,2012-10-16,17,0,2,1,winter,Clear,21.32,25.0,39,13.0,1.67,3.0,943
250,2011-07-30,9,0,6,0,fall,Clear,33.62,37.88,46,20.0,2.67,21.86,174
251,2011-03-12,17,0,6,0,spring,Clear,18.86,22.725,44,22.0,2.67,5.29,213
252,2011-09-05,8,1,1,0,fall,Cloudy,27.060000000000002,30.305,78,13.0,2.33,16.43,101
253,2011-12-21,9,0,3,1,spring,Cloudy,16.400000000000002,20.455000000000002,87,15.0,2.67,16.57,234
254,2012-03-01,12,0,4,1,spring,Clear,22.96,26.515,37,15.0,3.0,12.57,220
255,2012-10-28,16,0,0,0,winter,LightRain,19.68,23.485,67,31.0,2.0,10.57,293
256,2012-10-27,0,0,6,0,winter,Clear,20.5,24.240000000000002,88,9.0,2.67,2.0,142
257,2011-03-29,20,0,2,1,summer,Clear,14.76,18.18,21,6.0,3.0,21.29,132
258,2012-10-19,4,0,5,1,winter,Cloudy,22.96,26.515,83,0.0,2.33,18.57,6
259,2012-11-29,23,0,4,1,winter,Clear,11.48,15.909999999999998,61,0.0,1.67,3.71,130
260,2012-08-28,3,0,2,1,fall,Clear,27.060000000000002,29.544999999999998,89,9.0,2.33,21.0,4
261,2011-09-02,7,0,5,1,fall,Clear,24.599999999999998,28.03,83,7.0,2.33,25.43,259
262,2012-11-12,19,1,1,0,winter,Clear,22.14,25.759999999999998,73,19.0,2.0,19.14,353
263,2011-08-14,23,0,0,0,fall,LightRain,24.599999999999998,28.03,83,0.0,2.67,14.14,27
264,2012-07-06,5,0,5,1,fall,Clear,30.34,34.85,66,13.0,2.0,18.43,35
265,2011-05-09,3,0,1,1,summer,Clear,18.86,22.725,82,6.0,2.67,1.86,7
266,2012-02-24,20,0,5,1,spring,Clear,18.04,21.97,62,28.0,2.67,2.57,167
267,2012-04-16,18,1,1,0,summer,Clear,32.800000000000004,34.85,31,26.0,2.67,12.0,676
268,2011-10-24,19,0,1,1,winter,LightRain,19.68,23.485,82,0.0,3.0,13.29,237
